1.04	4.00	15.00	15.00	-2.10	0.92	0.68	10.57	0.66	-5.77
1.08	3.00	14.00	15.00	-2.10	0.92	1.04	13.18	1.15	-12.04
1.12	2.00	11.00	14.00	-2.76	0.55	1.59	13.19	1.15	-12.04
1.16	2.00	11.00	12.00	-2.76	0.34	1.64	13.19	2.05	-8.91
1.2	2.00	9.00	11.00	-2.63	0.16	1.64	12.91	2.09	-3.97
1.24	1.00	8.00	10.00	-1.13	-0.04	1.03	11.04	2.05	-0.53
1.28	1.00	7.00	9.00	-0.27	-0.21	0.49	8.98	1.13	1.45
1.32	0.00	6.00	9.00	0.44	-0.21	-0.09	6.17	0.80	2.41
1.36	0.00	6.00	8.00	0.93	-0.05	-0.24	4.68	0.62	2.83
1.4	0.00	5.00	8.00	1.61	0.27	-0.43	3.83	0.24	2.83
1.44	0.00	5.00	8.00	2.17	0.48	-0.64	3.83	-0.08	1.03
1.48	0.00	5.00	8.00	2.55	0.56	-0.64	4.63	-0.26	-0.71
1.52	0.00	4.00	7.00	2.63	0.56	-0.51	6.28	-0.64	-3.41
1.56	0.00	3.00	6.00	2.63	0.54	-0.38	7.25	-0.64	-5.94
1.6	0.00	2.00	5.00	1.98	0.50	-0.38	7.74	-0.62	-5.94
1.64	0.00	2.00	5.00	1.79	0.26	-0.55	9.29	-0.55	-5.99
1.68	0.00	2.00	5.00	1.60	0.25	-0.56	9.29	0.31	-5.89
1.72	0.00	1.00	5.00	0.82	0.13	-0.59	9.08	0.31	-5.55
1.76	0.00	1.00	5.00	0.27	0.01	-0.59	9.08	-0.30	-5.55
1.8	0.00	1.00	5.00	0.23	-0.20	-0.59	9.10	-0.30	-4.36
1.84	0.00	2.00	3.00	0.23	-0.30	-0.38	9.10	-0.17	-4.27
1.88	4.00	5.00	3.00	0.73	-0.30	0.00	9.21	0.60	-3.24
1.92	4.00	7.00	3.00	0.73	-0.30	0.00	9.85	0.36	-1.93
2.04	6.00	9.00	3.00	0.38	-0.28	0.00	9.85	0.36	-0.36
2.08	7.00	15.00	8.00	0.08	-0.17	0.02	9.25	0.32	-0.34
2.12	8.00	16.00	16.00	0.07	-0.17	0.02	9.23	0.19	-0.31
2.16	7.00	18.00	16.00	0.00	-0.06	0.00	9.11	0.16	-0.31
2.2	8.00	20.00	16.00	-0.01	-0.05	0.00	9.01	0.15	-0.31
2.24	9.00	23.00	26.00	-0.01	0.00	-0.01	9.01	0.14	-0.31
2.28	13.00	27.00	34.00	0.00	0.01	-0.01	9.02	0.13	-0.30
2.32	19.00	34.00	42.00	0.01	0.04	-0.01	9.08	0.14	-0.30
2.36	24.00	36.00	56.00	0.02	0.06	-0.01	9.06	0.15	-0.29
2.4	28.00	38.00	61.00	0.02	0.06	0.00	9.06	0.18	-0.28
2.44	30.00	39.00	66.00	0.02	0.02	0.00	9.03	0.18	-0.28
2.48	32.00	42.00	68.00	0.03	0.01	0.01	9.03	0.18	-0.26
2.52	33.00	44.00	71.00	0.03	0.00	0.01	9.03	0.17	-0.26
2.56	33.00	47.00	72.00	0.01	-0.01	0.01	9.05	0.17	-0.25
2.6	32.00	52.00	72.00	0.01	-0.04	0.01	9.05	0.16	-0.25
2.64	28.00	54.00	73.00	0.01	-0.05	0.01	9.02	0.14	-0.25
